name,city,source,link,min_salary,max_salary,currency
Уборщик производственных помещений,Минск,HH.RU,https://hh.ru/vacancy/42885398?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,800.0,,бел.руб.
Горничная в гостиницу,Москва,HH.RU,https://hh.ru/vacancy/42888845?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,60000.0,80000.0,руб.
Специалист по уборке/клинер (домработница/домработник),Москва,HH.RU,https://hh.ru/vacancy/41029012?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40000.0,50000.0,руб.
Уборщик территории,Минск,HH.RU,https://hh.ru/vacancy/42252614?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Уборщица/Уборщик,Минск,HH.RU,https://hh.ru/vacancy/42619001?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,700.0,,бел.руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42660002?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40000.0,40000.0,руб.
Уборщик офисных помещений,Минск,HH.RU,https://hh.ru/vacancy/42868414?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,880.0,,бел.руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42621186?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40300.0,,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42267446?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,37000.0,45000.0,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42520926?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,45000.0,,руб.
Дворник,Пермь,HH.RU,https://hh.ru/vacancy/42865239?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,10000.0,20000.0,руб.
Дворник,Уфа,HH.RU,https://hh.ru/vacancy/42538453?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,23758.0,руб.
